key_resp.corr,key_resp.rt,,,,,seqRT,ranRT,,,,,
1,0.2587443,,,,,0.2587443,0.6469857,,,,,
1,0.1151857,,,,,0.1151857,1.060632,,,,,
1,0.2637563,,,,,0.2637563,0.6787348,,,,,
1,0.3662079,,,,,0.3662079,1.9796179,,,,,
1,0.2789044,,,,,0.2789044,0.5745364,,,,,
1,0.2460849,,,,,0.2460849,0.7043514,,,,,
1,0.2837172,,,,,0.2837172,0.4941401,,,,,
1,0.3694004,,,,,0.3694004,0.8744029,,,,,
1,0.2726863,,,,,0.2726863,0.8430525,,,,,
1,0.0929318,,,,,0.0929318,0.894054,,,,,
1,0.2633325,,,,,0.2633325,0.6237622,,,,,
1,0.3912477,,,,,0.3912477,0.6118958,,,,,
1,0.1244338,,,,,0.1244338,0.9389023,,,,,
1,0.0714972,,,,,0.0714972,0.6018984,,,,,
1,0.3398044,,,,,0.3398044,0.3391315,,,,,
1,0.2854604,,,,,0.2854604,0.7951977,,,,,
1,0.1619566,,,,,0.1619566,0.3203512,,,,,
1,0.1153098,,,,,0.1153098,0.7786603,,,,,
1,0.1219555,,,,,0.1219555,0.9872679,,,,,
1,0.2362109,,,,,0.2362109,1.7441141,,,,,
1,0.1992634,,,,,0.1992634,0.6200474,,,,,
1,0.3241907,,,,,0.3241907,0.4329568,,,,,
1,0.2947441,,,,,0.2947441,0.9246244,,,,,
1,0.4103021,,,,,0.4103021,1.2131126,,,,,
1,0.0186239,,,,,0.0186239,0.8221381,,,,,
1,0.2803071,,,,,0.2803071,0.9204815,,,,,
1,0.2566938,,,,,0.2566938,1.1163891,,,,,
1,0.2317882,,,,,0.2317882,0.6843789,,,,,
1,0.2730088,,,,,0.2730088,0.7908487,,,,,
1,0.2826306,,,,,0.2826306,0.5984469,,,,,
1,0.51524,,,,,0.51524,0.6974578,,,,,
1,0.493053,,,,,0.493053,0.5437299,,,,,
1,0.1063354,,,,,0.1063354,0.7460086,,,,,
1,0.2751606,,,,,0.2751606,0.6534361,,,,,
1,0.0399289,,,,,0.0399289,0.8742284,,,,,
1,0.3115843,,,,,0.3115843,0.951185,,,,,
1,0.2681199,,,,,0.2681199,0.7806201,,,,,
1,0.3070067,,,,,0.3070067,0.7503518,,,,,
